country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Argentina,ARG,12/29/20,700,,,,,0,,,,Sputnik V
Argentina,ARG,12/30/20,,,,,15656,,,,346,Sputnik V
Argentina,ARG,12/31/20,32013,,,,15656,0.07,,,346,Sputnik V
Argentina,ARG,1/1/21,,,,,11070,,,,245,Sputnik V
Argentina,ARG,1/2/21,,,,,8776,,,,194,Sputnik V
Argentina,ARG,1/3/21,,,,,7400,,,,164,Sputnik V
Argentina,ARG,1/4/21,39599,,,,6483,0.09,,,143,Sputnik V
Argentina,ARG,1/5/21,,,,,7984,,,,177,Sputnik V
Argentina,ARG,1/6/21,,,,,8173,,,,181,Sputnik V
Argentina,ARG,1/7/21,,,,,8363,,,,185,Sputnik V
Argentina,ARG,1/8/21,107542,,,,10519,0.24,,,233,Sputnik V
Argentina,ARG,1/9/21,,,,,11942,,,,264,Sputnik V
Argentina,ARG,1/10/21,,,,,13365,,,,296,Sputnik V
Argentina,ARG,1/11/21,,,,,14788,,,,327,Sputnik V
Argentina,ARG,1/12/21,,,,,14056,,,,311,Sputnik V
Argentina,ARG,1/13/21,166833,,,,13323,0.37,,,295,Sputnik V
Argentina,ARG,1/14/21,,,,,13320,,,,295,Sputnik V
Argentina,ARG,1/15/21,200759,,,,13317,0.44,,,295,Sputnik V
Argentina,ARG,1/16/21,,,,,12971,,,,287,Sputnik V
Argentina,ARG,1/17/21,,,,,12624,,,,279,Sputnik V
Argentina,ARG,1/18/21,,,,,12278,,,,272,Sputnik V
Argentina,ARG,1/19/21,,,,,11932,,,,264,Sputnik V
Argentina,ARG,1/20/21,247933,243539,4394,,11586,0.55,0.54,0.01,256,Sputnik V
Argentina,ARG,1/21/21,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V
Argentina,ARG,1/22/21,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V
Argentina,ARG,1/23/21,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V
Argentina,ARG,1/24/21,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V
Austria,AUT,1/5/21,8360,8360,,,,0.09,0.09,,,Pfizer/BioNTech
Austria,AUT,1/6/21,,,,,3368,,,,374,Pfizer/BioNTech
Austria,AUT,1/7/21,15095,15095,,,3368,0.17,0.17,,374,Pfizer/BioNTech
Austria,AUT,1/8/21,30150,30150,,15055,7263,0.33,0.33,,806,Pfizer/BioNTech
Austria,AUT,1/9/21,31525,31525,,1375,5791,0.35,0.35,,643,Pfizer/BioNTech
Austria,AUT,1/10/21,31885,31885,,360,4705,0.35,0.35,,522,Pfizer/BioNTech
Austria,AUT,1/11/21,38545,38545,,6660,5031,0.43,0.43,,559,Pfizer/BioNTech
Austria,AUT,1/12/21,52925,52925,,14380,6366,0.59,0.59,,707,Pfizer/BioNTech
Austria,AUT,1/13/21,63280,63280,,10355,7365,0.7,0.7,,818,Pfizer/BioNTech
Austria,AUT,1/14/21,74100,74100,,10820,8429,0.82,0.82,,936,Pfizer/BioNTech
Austria,AUT,1/15/21,84380,84380,,10280,7747,0.94,0.94,,860,Pfizer/BioNTech
Austria,AUT,1/16/21,87195,87195,,2815,7953,0.97,0.97,,883,Pfizer/BioNTech
Austria,AUT,1/17/21,102790,102790,,15595,10129,1.14,1.14,,1125,Pfizer/BioNTech
Austria,AUT,1/18/21,,,,,11852,,,,1316,Pfizer/BioNTech
Austria,AUT,1/19/21,140232,140232,,,12472,1.56,1.56,,1385,Pfizer/BioNTech
Austria,AUT,1/20/21,150703,150703,,10471,12489,1.67,1.67,,1387,Pfizer/BioNTech
Austria,AUT,1/21/21,161965,161965,,11262,12552,1.8,1.8,,1394,Pfizer/BioNTech
Austria,AUT,1/22/21,166956,166956,,4991,11797,1.85,1.85,,1310,Pfizer/BioNTech
Austria,AUT,1/23/21,169549,169549,,2593,11765,1.88,1.88,,1306,Pfizer/BioNTech
Austria,AUT,1/24/21,170144,170144,,595,9622,1.89,1.89,,1068,Pfizer/BioNTech
Bahrain,BHR,12/23/20,38965,38965,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/24/20,50071,50071,,11106,11106,2.94,2.94,,6527,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/25/20,50543,50543,,472,5789,2.97,2.97,,3402,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/26/20,51556,51556,,1013,4197,3.03,3.03,,2467,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/27/20,53614,53614,,2058,3662,3.15,3.15,,2152,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/28/20,55014,55014,,1400,3210,3.23,3.23,,1886,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/29/20,56041,56041,,1027,2846,3.29,3.29,,1673,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/30/20,57317,57317,,1276,2622,3.37,3.37,,1541,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/31/20,58643,58643,,1326,1225,3.45,3.45,,720,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/1/21,59351,59351,,708,1258,3.49,3.49,,739,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/2/21,60097,60097,,746,1220,3.53,3.53,,717,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/3/21,60689,60689,,592,1011,3.57,3.57,,594,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/4/21,61612,61612,,923,943,3.62,3.62,,554,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/5/21,63893,63893,,2281,1122,3.75,3.75,,659,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/6/21,68472,68472,,4579,1594,4.02,4.02,,937,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/7/21,72239,72239,,3767,1942,4.25,4.25,,1141,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/8/21,78291,78291,,6052,2706,4.6,4.6,,1590,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/9/21,84157,84157,,5866,3437,4.95,4.95,,2020,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/10/21,89250,89250,,5093,4080,5.25,5.25,,2398,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/11/21,92598,92598,,3348,4427,5.44,5.44,,2602,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/12/21,97776,97776,,5178,4840,5.75,5.75,,2844,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/13/21,101363,101363,,3587,4699,5.96,5.96,,2762,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/14/21,109566,109566,,8203,5332,6.44,6.44,,3134,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/15/21,122819,122819,,13253,6361,7.22,7.22,,3738,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/16/21,137159,137159,,14340,7572,8.06,8.06,,4450,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/17/21,141563,141563,,4404,7473,8.32,8.32,,4392,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/18/21,142831,142831,,1268,7176,8.39,8.39,,4217,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/19/21,143596,143596,,765,6546,8.44,8.44,,3847,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/20/21,144130,144130,,534,6110,8.47,8.47,,3591,"Pfizer/BioNTech, Sinopharm"
Belgium,BEL,12/28/20,298,298,,,,0,0,,,Pfizer/BioNTech
Belgium,BEL,12/29/20,299,299,,1,1,0,0,,0,Pfizer/BioNTech
Belgium,BEL,12/30/20,766,766,,467,234,0.01,0.01,,20,Pfizer/BioNTech
Belgium,BEL,12/31/20,775,775,,9,159,0.01,0.01,,14,Pfizer/BioNTech
Belgium,BEL,1/1/21,784,784,,9,122,0.01,0.01,,11,Pfizer/BioNTech
Belgium,BEL,1/2/21,,,,,97,,,,8,Pfizer/BioNTech
Belgium,BEL,1/3/21,,,,,81,,,,7,Pfizer/BioNTech
Belgium,BEL,1/4/21,785,785,,,70,0.01,0.01,,6,Pfizer/BioNTech
Belgium,BEL,1/5/21,2283,2283,,1498,283,0.02,0.02,,24,Pfizer/BioNTech
Belgium,BEL,1/6/21,5916,5916,,3633,736,0.05,0.05,,64,Pfizer/BioNTech
Belgium,BEL,1/7/21,13757,13757,,7841,1855,0.12,0.12,,160,Pfizer/BioNTech
Belgium,BEL,1/8/21,22723,22723,,8966,3134,0.2,0.2,,270,Pfizer/BioNTech
Belgium,BEL,1/9/21,25830,25830,,3107,3578,0.22,0.22,,309,Pfizer/BioNTech
Belgium,BEL,1/10/21,26223,26223,,393,3634,0.23,0.23,,314,Pfizer/BioNTech
Belgium,BEL,1/11/21,31573,31573,,5350,4398,0.27,0.27,,379,Pfizer/BioNTech
Belgium,BEL,1/12/21,46271,46271,,14698,6284,0.4,0.4,,542,Pfizer/BioNTech
Belgium,BEL,1/13/21,65822,65822,,19551,8558,0.57,0.57,,738,Pfizer/BioNTech
Belgium,BEL,1/14/21,85996,85996,,20174,10320,0.74,0.74,,890,Pfizer/BioNTech
Belgium,BEL,1/15/21,106885,106885,,20889,12023,0.92,0.92,,1037,Pfizer/BioNTech
Belgium,BEL,1/16/21,111552,111552,,4667,12246,0.96,0.96,,1057,Pfizer/BioNTech
Belgium,BEL,1/17/21,114298,114298,,2746,12582,0.99,0.99,,1086,Pfizer/BioNTech
Belgium,BEL,1/18/21,123517,123408,109,9219,13135,1.07,1.06,0,1133,Pfizer/BioNTech
Belgium,BEL,1/19/21,137279,137068,211,13762,13001,1.18,1.18,0,1122,Pfizer/BioNTech
Belgium,BEL,1/20/21,151375,151080,295,14096,12222,1.31,1.3,0,1055,Pfizer/BioNTech
Belgium,BEL,1/21/21,163783,163410,373,12408,11112,1.41,1.41,0,959,Pfizer/BioNTech
Belgium,BEL,1/22/21,174307,173899,408,10524,9632,1.5,1.5,0,831,Pfizer/BioNTech
Brazil,BRA,1/16/21,0,0,,,,0,0,,,Sinovac
Brazil,BRA,1/17/21,112,112,,112,112,0,0,,1,Sinovac
Brazil,BRA,1/18/21,1109,1109,,997,554,0,0,,3,Sinovac
Brazil,BRA,1/19/21,11470,11470,,10361,3823,0.01,0.01,,18,Sinovac
Brazil,BRA,1/20/21,28543,28543,,17073,7136,0.01,0.01,,34,Sinovac
Brazil,BRA,1/21/21,136519,136519,,107976,27304,0.06,0.06,,128,Sinovac
Brazil,BRA,1/22/21,245877,245877,,109358,40980,0.12,0.12,,193,Sinovac
Brazil,BRA,1/23/21,537774,537774,,291897,76825,0.25,0.25,,361,Sinovac
Brazil,BRA,1/24/21,604722,604722,,66948,86373,0.28,0.28,,406,Sinovac
Bulgaria,BGR,12/29/20,1719,1719,,,,0.02,0.02,,,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,12/30/20,4608,4608,,2889,2889,0.07,0.07,,416,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,12/31/20,,,,,1477,,,,213,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/1/21,4739,4739,,,1007,0.07,0.07,,145,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/2/21,,,,,799,,,,115,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/3/21,,,,,675,,,,97,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/4/21,,,,,592,,,,85,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/5/21,5448,5448,,,533,0.08,0.08,,77,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/6/21,7913,7913,,2465,472,0.11,0.11,,68,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/7/21,11117,11117,,3204,920,0.16,0.16,,132,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/8/21,13355,13355,,2238,1231,0.19,0.19,,177,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/9/21,13473,13473,,118,1222,0.19,0.19,,176,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/10/21,,,,,1246,,,,179,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/11/21,14161,14161,,,1270,0.2,0.2,,183,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/12/21,15780,15780,,1619,1476,0.23,0.23,,212,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/13/21,17038,17038,,1258,1304,0.25,0.25,,188,"Moderna, Pfizer/BioNTech"
Bulgaria,BGR,1/14/21,17686,17686,,648,938,0.25,0.25,,135,"Moderna, Pfizer/BioNTech"
