country,iso_code,date,total_vaccinations,people_vaccinated,daily_vaccinations,daily_vaccinations_per_million,vaccines
Argentina,ARG,12/29/20,700,,,,Sputnik V
Argentina,ARG,12/30/20,,,15656,346,Sputnik V
Argentina,ARG,12/31/20,32013,,15656,346,Sputnik V
Argentina,ARG,1/1/21,,,11070,245,Sputnik V
Argentina,ARG,1/2/21,,,8776,194,Sputnik V
Argentina,ARG,1/3/21,,,7400,164,Sputnik V
Argentina,ARG,1/4/21,39599,,6483,143,Sputnik V
Argentina,ARG,1/5/21,,,7984,177,Sputnik V
Argentina,ARG,1/6/21,,,8173,181,Sputnik V
Argentina,ARG,1/7/21,,,8363,185,Sputnik V
Argentina,ARG,1/8/21,107542,,10519,233,Sputnik V
Argentina,ARG,1/9/21,,,11942,264,Sputnik V
Argentina,ARG,1/10/21,,,13365,296,Sputnik V
Argentina,ARG,1/11/21,,,14788,327,Sputnik V
Argentina,ARG,1/12/21,,,14056,311,Sputnik V
Argentina,ARG,1/13/21,166833,,13323,295,Sputnik V
Argentina,ARG,1/14/21,,,13320,295,Sputnik V
Argentina,ARG,1/15/21,200759,,13317,295,Sputnik V
Argentina,ARG,1/16/21,,,12971,287,Sputnik V
Argentina,ARG,1/17/21,,,12624,279,Sputnik V
Argentina,ARG,1/18/21,,,12278,272,Sputnik V
Argentina,ARG,1/19/21,,,11932,264,Sputnik V
Argentina,ARG,1/20/21,247933,243539,11586,256,Sputnik V
Argentina,ARG,1/21/21,265724,249372,11704,259,Sputnik V
Argentina,ARG,1/22/21,279602,254456,11263,249,Sputnik V
Argentina,ARG,1/23/21,288064,258876,11124,246,Sputnik V
Argentina,ARG,1/24/21,292023,260036,10342,229,Sputnik V
Austria,AUT,1/5/21,8360,8360,,,Pfizer/BioNTech
Austria,AUT,1/6/21,,,3368,374,Pfizer/BioNTech
Austria,AUT,1/7/21,15095,15095,3368,374,Pfizer/BioNTech
Austria,AUT,1/8/21,30150,30150,7263,806,Pfizer/BioNTech
Austria,AUT,1/9/21,31525,31525,5791,643,Pfizer/BioNTech
Austria,AUT,1/10/21,31885,31885,4705,522,Pfizer/BioNTech
Austria,AUT,1/11/21,38545,38545,5031,559,Pfizer/BioNTech
Austria,AUT,1/12/21,52925,52925,6366,707,Pfizer/BioNTech
Austria,AUT,1/13/21,63280,63280,7365,818,Pfizer/BioNTech
Austria,AUT,1/14/21,74100,74100,8429,936,Pfizer/BioNTech
Austria,AUT,1/15/21,84380,84380,7747,860,Pfizer/BioNTech
Austria,AUT,1/16/21,87195,87195,7953,883,Pfizer/BioNTech
Austria,AUT,1/17/21,102790,102790,10129,1125,Pfizer/BioNTech
Austria,AUT,1/18/21,,,11852,1316,Pfizer/BioNTech
Austria,AUT,1/19/21,140232,140232,12472,1385,Pfizer/BioNTech
Austria,AUT,1/20/21,150703,150703,12489,1387,Pfizer/BioNTech
Austria,AUT,1/21/21,161965,161965,12552,1394,Pfizer/BioNTech
Austria,AUT,1/22/21,166956,166956,11797,1310,Pfizer/BioNTech
Austria,AUT,1/23/21,169549,169549,11765,1306,Pfizer/BioNTech
Austria,AUT,1/24/21,170144,170144,9622,1068,Pfizer/BioNTech
Bahrain,BHR,12/23/20,38965,38965,,,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/24/20,50071,50071,11106,6527,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/25/20,50543,50543,5789,3402,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/26/20,51556,51556,4197,2467,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/27/20,53614,53614,3662,2152,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/28/20,55014,55014,3210,1886,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/29/20,56041,56041,2846,1673,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/30/20,57317,57317,2622,1541,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,12/31/20,58643,58643,1225,720,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/1/21,59351,59351,1258,739,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/2/21,60097,60097,1220,717,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/3/21,60689,60689,1011,594,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/4/21,61612,61612,943,554,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/5/21,63893,63893,1122,659,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/6/21,68472,68472,1594,937,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/7/21,72239,72239,1942,1141,"Pfizer/BioNTech, Sinopharm"
Bahrain,BHR,1/8/21,78291,78291,2706,1590,"Pfizer/BioNTech, Sinopharm"
