Activity,Person's Residence in Preparedness Region,Person's Residence in Local Health Department Jurisdiction,Person's Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Data as of,Number of Doses
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Family Practice,First Dose,53,December,2020,12/28/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/30/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,51,December,2020,12/14/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/22/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/23/20,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/24/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/26/20,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/27/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/28/20,43
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/29/20,88
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/30/20,55
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/31/20,19
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,January,2021,1/2/21,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/21/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/22/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/24/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/26/20,8
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,8
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,44
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,11
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/31/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,January,2021,1/1/21,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,51,December,2020,12/17/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,52,December,2020,12/22/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/28/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/29/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/31/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,January,2021,1/2/21,5
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,74
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,39
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,32
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/31/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,9
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Specialty Provider,First Dose,53,December,2020,12/31/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Tribal Health,First Dose,52,December,2020,12/23/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Family Practice,First Dose,53,December,2020,12/29/20,11
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Family Practice,First Dose,53,December,2020,12/30/20,15
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/15/20,5
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,8
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,43
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,195
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,35
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,38
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,323
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,326
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,274
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,72
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/25/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,43
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,53
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,265
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,204
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,233
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,108
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,17
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,62
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,9
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,7
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,7
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,17
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/20,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,January,2021,1/1/21,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,51,December,2020,12/16/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,52,December,2020,12/20/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,52,December,2020,12/21/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,53,December,2020,12/27/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,51,December,2020,12/18/20,3
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/20/20,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,3
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Specialty Provider,First Dose,51,December,2020,12/18/20,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Specialty Provider,First Dose,53,December,2020,12/29/20,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/23/20,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/24/20,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/26/20,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/28/20,51
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/29/20,69
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/30/20,143
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/31/20,16
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,January,2021,1/2/21,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/22/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,41
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/26/20,19
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,19
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,22
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,16
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Other,First Dose,53,December,2020,12/28/20,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Other,First Dose,53,January,2021,1/2/21,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,13
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/31/20,7
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,129
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,4
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,115
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,70
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,139
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,4
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,71
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,106
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,103
