country,iso_code,date,total_vaccinations,people_vaccinated,daily_vaccinations,daily_vaccinations_per_million,vaccines,Lat,Long_
Argentina,ARG,12/29/2020,700,,,,Sputnik V,-34,-64
Argentina,ARG,12/30/2020,,,15656,346,Sputnik V,-34,-64
Argentina,ARG,12/31/2020,32013,,15656,346,Sputnik V,-34,-64
Argentina,ARG,1/1/2021,,,11070,245,Sputnik V,-34,-64
Argentina,ARG,1/2/2021,,,8776,194,Sputnik V,-34,-64
Argentina,ARG,1/3/2021,,,7400,164,Sputnik V,-34,-64
Argentina,ARG,1/4/2021,39599,,6483,143,Sputnik V,-34,-64
Argentina,ARG,1/5/2021,,,7984,177,Sputnik V,-34,-64
Argentina,ARG,1/6/2021,,,8173,181,Sputnik V,-34,-64
Argentina,ARG,1/7/2021,,,8363,185,Sputnik V,-34,-64
Argentina,ARG,1/8/2021,107542,,10519,233,Sputnik V,-34,-64
Argentina,ARG,1/9/2021,,,11942,264,Sputnik V,-34,-64
Argentina,ARG,1/10/2021,,,13365,296,Sputnik V,-34,-64
Argentina,ARG,1/11/2021,,,14788,327,Sputnik V,-34,-64
Argentina,ARG,1/12/2021,,,14056,311,Sputnik V,-34,-64
Argentina,ARG,1/13/2021,166833,,13323,295,Sputnik V,-34,-64
Argentina,ARG,1/14/2021,,,13320,295,Sputnik V,-34,-64
Argentina,ARG,1/15/2021,200759,,13317,295,Sputnik V,-34,-64
Argentina,ARG,1/16/2021,,,12971,287,Sputnik V,-34,-64
Argentina,ARG,1/17/2021,,,12624,279,Sputnik V,-34,-64
Argentina,ARG,1/18/2021,,,12278,272,Sputnik V,-34,-64
Argentina,ARG,1/19/2021,,,11932,264,Sputnik V,-34,-64
Argentina,ARG,1/20/2021,247933,243539,11586,256,Sputnik V,-34,-64
Argentina,ARG,1/21/2021,265724,249372,11704,259,Sputnik V,-34,-64
Argentina,ARG,1/22/2021,279602,254456,11263,249,Sputnik V,-34,-64
Argentina,ARG,1/23/2021,288064,258876,11124,246,Sputnik V,-34,-64
Argentina,ARG,1/24/2021,292023,260036,10342,229,Sputnik V,-34,-64
Austria,AUT,1/5/2021,8360,8360,,,Pfizer/BioNTech,47.3333,13.3333
