Year Range,Persons Residence in Preparedness Region,Persons Residence in Local Health Department Jurisdiction,Persons Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Date,Number of Doses
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Family Practice,First Dose,53,December,2020,12/28/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/30/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/2020,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,51,December,2020,12/14/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/22/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/23/2020,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/24/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,52,December,2020,12/26/2020,3
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/27/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/28/2020,43
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/29/2020,88
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/30/2020,55
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,December,2020,12/31/2020,19
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Hospital,First Dose,53,January,2021,1/2/2021,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/21/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/22/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/23/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/24/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,52,December,2020,12/26/2020,8
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/28/2020,8
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/29/2020,44
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/30/2020,11
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,December,2020,12/31/2020,1
